Organization,Account,Report_Year_End,Report_Month_End,Incentive,Have_Target,Scope3,Savings_Proj_10,Invest_10,Year_MWh,Year_Scope1,Year_Scope2,CDP_Report,Savings_Proj,Savings_Real,Invest,Intensity_FTE,Intensity_Rev
"Pepco Holdings, Inc.",14578,2009,8,1,0,25100,1262621,3341800000,185924,1969153,96438,2010,,,,,
Devon Energy Corporation,4678,2007,12,1,0,16063,0,0,556150,3680000,490000,2010,,,,,
"The Travelers Companies, Inc.",19377,2008,6,1,1,,19891,0,119917,37075,51930,2010,,,,,
Rockline Industries,23577,2009,12,1,1,12197,2075,2980222,23831,4713,17816,2010,,,,,
Eli Lilly & Co.,5377,2009,12,0,1,172643,67815,8000000,2152306,549301,1282780,2010,,,,,
MGM Mirage,11876,2009,12,0,1,,35800,0,1109592,163633,667319,2010,,,,,
"Consolidated Edison, Inc.",3776,2009,8,1,1,25437110,2180986,545820000,2428945,3817603,886674,2010,,,,,
"Bright Star Footwear, L",29976,2010,12,0,0,,0,0,0,0,0,2010,,,,,
Wells Fargo & Company,20575,2009,12,1,1,118503,141700,0,2766021,142889,1564151,2010,,,,,
Crown Prince,30867,2009,12,1,1,1749,0,0,207,4,68,2010,,,,,
Verizon Communications Inc.,20175,2009,12,0,1,,154479,0,9932121,504922,5986089,2010,,,,,
Adjmi Apparel Group,30075,2010,3,0,0,,0,0,0,0,0,2010,,,,,
Reynolds American Inc.,15774,2009,12,0,0,,0,0,389521,132248,199749,2010,,,,,
Nstar,13574,2009,12,1,1,,0,0,69297,55838,24704,2010,,,,,
Hess Corporation,8274,2009,12,0,1,46087834,2449000,450500000,946991,9084125,453050,2010,,,,,
Baxter International Inc.,1574,2009,12,1,1,12204000,0,0,1168945,326000,474000,2010,,,,,
Avista Corporation,1274,2009,12,0,0,,0,0,0,1882399,0,2010,,,,,
Terex Corporation,18573,2009,12,0,0,,0,0,122776,62906,50745,2010,,,,,
Stanley Works,17673,2009,12,1,1,7138,10652,17066932,239113,76514,133039,2010,,,,,
Range Resources Corp.,15473,2009,12,0,0,,0,0,545813,2179000,0,2010,,,,,
VF Corp,22872,2009,12,1,0,14664,282,29309,370771,72339,201982,2010,,,,,
Moody's Corporation,12379,2009,12,0,0,,0,0,0,0,0,2010,,,,,
"McCormick & Company, Incorporated",11566,2009,12,1,1,,1580,0,95874,11910,50696,2010,,,,,
Intuit Inc.,9366,2009,12,0,1,47821,11900,0,92638,6422,34274,2010,,,,,
Gap Inc.,7060,2009,1,0,0,45388,0,0,966186,25657,527722,2010,,,,,
von Drehle Corporation,29859,2008,12,0,0,,123,135624,50109,1495,31873,2010,,,,,
United Technologies Corporation,19859,2009,12,1,1,59477,15650,0,1969180,905586,980622,2010,,,,,
The Hershey Company,18859,2009,12,1,1,149120,24370,9634000,482229,157275,384829,2010,,,,,
"Staples, Inc.",17659,2009,12,0,1,,41100,0,683300,84300,380800,2010,,,,,
"Staples, Inc.",17659,2008,12,,,,,,708215,79900,394000,2010,,,,,
C-Life Group Ltd,29959,2009,12,1,1,,3,200,266,0,98,2010,,,,,
UnitedHealth Group Inc,19858,2009,12,0,1,,0,0,163166844,7076,101913,2010,,,,,
Cincinnati Financial Corporation,3358,2009,12,0,0,,0,0,29961,16658,24211,2010,,,,,
"Starwood Hotels & Resorts Worldwide, Inc",17657,2009,12,1,0,363961,0,0,3415243,534433,1948358,2010,,,,,
Biogen Idec Inc.,1857,2009,12,1,1,13404,2302,2222390,87294,49248,52581,2010,,,,,
Kellogg Company,10056,2009,12,0,1,,0,0,0,578608,706917,2010,,,,,
General Mills Inc.,7156,2009,4,1,1,15208,3431,0,1053211,269530,785040,2010,,,,,
Baker Hughes Incorporated,1356,2009,12,1,1,103300,57000,2000000,482000,300000,270000,2010,,,,,
Aetna Inc.,356,2009,12,0,0,6234,0,0,0,8710,37413,2010,,,,,
Milestone AV Technologies,29855,2009,12,0,0,3755,224,41600,1614,451,1313,2010,,,,,
Cabot Corporation,2555,2009,12,1,1,,400000,0,683000,3490000,327000,2010,,,,,
Plum Creek Timber Co. Inc.,14854,2009,12,1,1,298444,825,10000,222504,31519,91566,2010,,,,,
Harrah's Entertainment,8054,2007,12,,,,,,1661020,232276,937876,2010,,,,,
Harrah's Entertainment,8054,2008,12,,,,,,1592258,234960,896670,2010,,,,,
Harrah's Entertainment,8054,2009,12,1,0,,61619,19800000,1545619,233590,874945,2010,,,,,
El Paso Corporation,5354,2008,12,1,0,4980,131000,0,1119500,13246833,926226,2010,,,,,
Ecolab Inc.,5154,2009,12,1,1,10379,2005,344314,121984,191641,73663,2010,,,,,
Horizon Group USA,28560,2009,12,0,0,323,0,0,1223,102,842,2010,,,,,
Parker-Hannifin Corporation,14360,2009,12,0,0,1544,43000,0,1004000,81632,559820,2010,,,,,
The J.M. Smucker Company,22360,2010,12,1,1,8333,0,0,416652,158025,221547,2010,,,,,
The Libman Company,29860,2009,1,0,0,,3742,0,15647,318,12992,2010,,,,,
General Electric Company,7166,2009,2,1,1,,250000,117000000,5861967,2696177,3097029,2010,,,,,
Cameron's Coffee,30866,2010,7,1,0,416,0,0,253,336,210,2010,,,,,
Western Digital Corp,22865,2009,12,0,1,32911,25846,0,704648,8017,357324,2010,,,,,
"Merck & Co., Inc.",11765,2009,9,1,1,345504,219000,0,3016051,1072054,1124491,2010,,,,,
Jacobs Engineering Group Inc.,22365,2009,12,0,0,6120,0,0,8864,2434,4856,2010,,,,,
Deere & Company,4365,2009,12,1,1,,0,0,1512327,497581,968571,2010,,,,,
Cott Corporation,3965,2009,12,0,0,,0,0,98260,33143,60486,2010,,,,,
Apple Inc.,865,2009,12,1,0,9438366,1095367,9100000000,320162,24476,141464,2010,,,,,
General Motors Corporation,7164,2009,6,1,1,,0,0,9459000,1859791,6585000,2010,,,,,
Cupid Foundations Inc,29964,2010,12,1,0,694,0,0,4591,941,3769,2010,,,,,
"Lexmark International, Inc.",10666,2009,7,1,1,7201,30000,5000000,205173,18066,145271,2010,,,,,
Coca-Cola Company,3564,2009,12,1,1,19838099,3300000,0,1205445,346021,765409,2010,,,,,
Abbott Laboratories,64,2009,12,1,1,283000,14047,8721000,1358686,824822,764407,2010,,,,,
"W W Wood, Inc.",30463,2009,12,0,0,,0,0,1079,277,651,2010,,,,,
Molex Incorporated,12363,2009,12,0,0,,0,0,535796,3077,198089,2010,,,,,
NRG Energy Inc,13562,2009,12,0,1,1350,220000,0,320000,59000000,140000,2010,,,,,
"Allegheny Energy, Inc.",562,2009,12,0,0,15419,0,0,0,29874350,93,2010,,,,,
AFLAC Incorporated,362,2009,12,0,0,,0,0,37904,3857,23826,2010,,,,,
Ormat Technologies Inc,14061,2009,12,,0,,0,0,0,0,0,2010,,,,,
Levi Strauss & Co.,10661,2009,12,1,1,7104,4800,1720000,144679,11991,72752,2010,,,,,
ICF International,8761,2009,12,1,0,11536,0,0,16413,1169,9024,2010,,,,,
Harris Freeman,23561,2009,12,0,1,,911,3570000,6600,100,4700,2010,,,,,
Ameren Corporation,661,2009,6,1,1,,1369833,153000000,0,62861698,0,2010,,,,,
BNY Mellon,1464,2009,12,0,1,22513,776662,4187229,404621,9483,214240,2010,,,,,
Corning Incorporated,23254,2008,12,1,0,,0,0,1800000,327459,960129,2010,,,,,
NIKE Inc.,13279,2009,12,0,1,1458461,0,0,171415,0,76110,2010,,,,,
Fruit of the Loom,29979,2009,12,1,1,20403,5559,0,501258,114534,309848,2010,,,,,
SunPower Corporation,30495,2009,12,1,0,1826,1495,0,246678,7244,121320,2010,,,,,
"Noble Energy, Inc.",13395,2008,12,1,1,,132000,570000,330000,2400000,130000,2010,,,,,
Hewlett-Packard,23195,2009,12,1,1,6264720,109000,6700000,3653000,289324,1813456,2010,,,,,
Ford Motor Company,6595,2009,12,1,1,,0,0,7065672,1623551,3226168,2010,,,,,
EMC Corporation,5395,2005,12,,,,,,570839,32473,266014,2010,,,,,
EMC Corporation,5395,2006,12,,,,,,635287,31437,285458,2010,,,,,
EMC Corporation,5395,2007,2,,,,,,713132,38529,320560,2010,,,,,
EMC Corporation,5395,2008,12,,,,,,733730,36004,339682,2010,,,,,
EMC Corporation,5395,2009,12,1,1,70800,96000,4025000,751571,39211,347052,2010,,,,,
"Constellation Brands, Inc.",3795,2010,12,1,0,367109,0,0,223291,140338,93546,2010,,,,,
Capital One Financial,2695,2009,12,1,1,,23099,0,372791,14720,206119,2010,,,,,
Boston Scientific Corporation,2095,2009,12,0,1,,0,0,0,29500,127700,2010,,,,,
Sunstone Imports Inc,29994,2007,9,,,,,,1885,392,1270,2010,,,,,
Sunstone Imports Inc,29994,2008,12,,,,,,1815,354,1227,2010,,,,,
Sunstone Imports Inc,29994,2009,6,0,0,,0,0,1403,396,966,2010,,,,,
Eaton Corporation,5194,2009,12,1,1,13422,28817,2564609,1034000,130429,559581,2010,,,,,
U.S. BanCorp,19593,2009,12,0,0,17568,0,0,538652,39347,346426,2010,,,,,
Sara Lee Corp.,16293,2009,12,1,1,4109454,52314,3380000,1045662,504618,622862,2010,,,,,
The Chubb Corporation,3293,2009,12,0,0,,0,0,30237,0,11787,2010,,,,,
Sigma-Aldrich Corporation,16892,2009,12,0,1,,0,0,129111,38587,132804,2010,,,,,
Janus Capital Group Inc.,9692,2009,12,0,0,,0,0,0,169,0,2010,,,,,
Dean Foods Company,4392,2009,6,1,1,142997,29118,2500000,1290874,855363,768173,2010,,,,,
American Express,692,2006,12,0,1,64324,20107,0,391862,26887,211526,2010,,,,,
"WellPoint, Inc.",20595,2009,10,0,1,96891,0,0,250154,9617,171803,2010,,,,,
"Integrys Energy Group, Inc.",9296,2009,12,1,1,,0,0,0,10250747,0,2010,,,,,
"MetLife, Inc.",11796,2009,12,0,1,,40345,0,133027,6455,71808,2010,,,,,
"MetLife, Inc.",11796,2008,12,,,,,,137439,6823,73347,2010,,,,,
XTO Energy Inc.,20899,2009,12,,,,0,0,0,4821960,749850,2010,,,,,
"Whole Foods Market, Inc.",20699,2009,11,1,1,,25552,13000000,686660,236415,390222,2010,,,,,
"TECO Energy, Inc.",18399,2009,12,0,1,,0,0,1867550,13791786,0,2010,,,,,
Meredith Corporation,11799,2008,12,0,1,,0,0,56544,6824,37391,2010,,,,,
Goldman Sachs Group Inc.,7599,2008,6,0,1,,109180,100000,718504,9721,314163,2010,,,,,
CH Energy Group Inc,3099,2009,12,0,0,,397,0,3091,20845,237043,2010,,,,,
"Bowman Apple Products, Inc.",23499,2009,12,0,0,,0,0,7689,6518,4954,2010,,,,,
"American International Group, Inc.",699,2010,12,0,,,0,0,0,0,0,2010,,,,,
Walgreen Company,20398,2009,11,0,0,,105013,0,0,253203,2028710,2010,,,,,
UPS,19898,2009,12,0,1,7286138,2513666,0,1593313,11436810,924259,2010,,,,,
Topsville Inc.,23598,2009,12,0,1,,2752,0,0,0,14000,2010,,,,,
Chevron Corporation,3191,2009,12,1,1,410000000,4500000,37000000000,0,60755989,5097388,2010,,,,,
KB Home,9998,2009,1,0,0,,0,0,28000,1177,19119,2010,,,,,
Citigroup Inc.,3398,2009,1,1,1,8700000,160800,35800000,2362486,45236,1215123,2010,,,,,
"Autodesk, Inc.",1198,2010,1,1,1,42504,15570,1600000,37123,2228,5882,2010,,,,,
Hormel Foods,23197,2009,12,1,1,,4475,0,0,801832,610345,2010,,,,,
eBay Inc.,5197,2009,12,,,,,,251212,7036,115892,2010,,,,,
eBay Inc.,5197,2010,12,,1,16030,0,0,267982,9168,126010,2010,,,,,
Alberto Culver,497,2009,12,0,1,,0,0,47120,13967,26618,2010,,,,,
Alberto Culver,497,2008,12,,,,,,0,14780,27593,2010,,,,,
"MetLife, Inc.",11796,2005,12,,,,,,137054,5942,76242,2010,,,,,
"MetLife, Inc.",11796,2006,12,,,,,,136288,4841,73934,2010,,,,,
"MetLife, Inc.",11796,2007,12,,,,,,143455,5779,77116,2010,,,,,
Intel Corporation,9298,2009,12,1,1,43595000,630300,35040000,4224740,770845,2419038,2010,,,,,
"Office Depot, Inc.",13779,2009,5,0,1,94100,0,9000000,583600,49310,335300,2010,,,,,
Capital Mercury Apparel,30091,2009,1,0,0,,100,0,766,320,691,2010,,,,,
Agilent Technologies Inc.,391,2010,12,0,1,,147000,0,202859,23230,104884,2010,,,,,
ACI International Inc.,23485,2010,12,1,1,76,0,0,650,0,12392,2010,,,,,
3M Company,285,2009,9,1,1,,0,0,6902488,3290000,1690000,2010,,,,,
Walt Disney Company,20384,2009,12,0,1,,0,0,0,543226,953560,2010,,,,,
Omnicom Group Inc.,13884,2009,12,1,0,131286,0,0,199560,64196,97196,2010,,,,,
International Business Machines (IBM),9284,2009,12,1,1,3935200,142100,0,5135800,456655,2380946,2010,,,,,
"Franklin Resources, Inc.",6684,2009,12,1,0,4407,0,0,57353,8099,29082,2010,,,,,
Tiffany & Co.,19083,2008,12,,,,,,65154,1394,32702,2010,,,,,
Tiffany & Co.,19083,2009,12,0,1,,2568,7060562,62566,1311,30963,2010,,,,,
Pinnacle West Capital Corporation,14783,2009,12,0,1,,0,0,40997,15718320,23319,2010,,,,,
Pfizer Inc.,14683,2009,12,1,1,,311000,19000000,2808070,1517540,1355695,2010,,,,,
Northeast Utilities Inc,13483,2009,12,0,1,1541,3192429,204148641,0,3497464,430893,2010,,,,,
"Marsh & McLennan Companies, Inc.",11383,2009,12,0,0,34006,0,0,226477,1,114332,2010,,,,,
FirstEnergy Corporation,6383,2009,12,0,0,,0,0,0,33801666,0,2010,,,,,
"A&H Sportswear Co, Inc.",23483,2009,12,1,0,,20,0,0,1876,0,2010,,,,,
"A&H Sportswear Co, Inc.",23483,2008,12,,,,,,0,1876,1608,2010,,,,,
Mosaic Company,12382,2009,12,1,0,6899006,940789,0,2600000,2218355,1577560,2010,,,,,
Celgene Corporation,2982,2009,12,1,0,,0,0,22339,5892,10154,2010,,,,,
Allstate Corporation,582,2009,7,0,0,153371,0,0,284400,37094,181168,2010,,,,,
Richard Leeds Intl Inc,30081,2010,12,1,0,,380,0,225000,3800,900,2010,,,,,
ITT Corporation,9581,2009,12,0,1,19772,5766,0,468183,72219,215153,2010,,,,,
Lt Apparel,30080,2009,6,1,0,,21,207250,1993,827,1003,2010,,,,,
Leo Schachter Diamonds Llc,29980,2010,12,0,0,,0,0,0,0,0,2010,,,,,
"CB Richard Ellis Group, Inc.",2885,2009,1,0,1,,0,25000,0,6098,32471,2010,,,,,
Estee Lauder Companies Inc.,5885,2009,12,0,0,35000,52942,726000,132100,36000,73000,2010,,,,,
"Hospira, Inc.",8585,2009,6,0,1,,0,0,558854,67640,333821,2010,,,,,
McKesson Corporation,11585,2009,12,0,0,27632,0,0,155263,30063,92772,2010,,,,,
Abercrombie & Fitch Co.,291,2010,12,0,0,,0,0,0,0,0,2010,,,,,
State Street Corporation,17690,2009,12,0,1,11021,861,88289,252208,6764,138436,2010,,,,,
"PerkinElmer, Inc.",14590,2009,12,1,1,8970,0,0,101605,21355,43295,2010,,,,,
AmeriCo Group,23490,2009,12,0,0,,0,0,0,0,0,2010,,,,,
AmeriCo Group,23490,2008,12,,,,,,0,0,0,2010,,,,,
AmeriCo Group,23490,2007,12,,,,,,0,0,0,2010,,,,,
Sears Holdings Corporation,16589,2007,12,,,,,,0,338983,2913342,2010,,,,,
Sears Holdings Corporation,16589,2008,12,,,,,,0,348007,2636723,2010,,,,,
Sears Holdings Corporation,16589,2009,12,0,0,,0,0,4419512,877581,2576699,2010,,,,,
Covanta Energy Corporation,3989,2009,12,0,0,,0,0,43057,5763769,21440,2010,,,,,
Bristol-Myers Squibb,2191,2009,1,0,1,48403,11043,0,701080,312431,321781,2010,,,,,
"American Electric Power Company, Inc.",689,2009,12,1,1,137205,14394852,0,0,136602600,0,2010,,,,,
Marshall & Ilsley Corporation,11388,2009,12,0,0,,4746,0,0,0,0,2010,,,,,
Compuware Corp.,3688,2009,12,1,0,3159,6723,0,37716,2727,24247,2010,,,,,
Cognizant Technology Solutions Corp.,3588,2009,12,1,0,27738,37000,0,140404280,21555,129354,2010,,,,,
"Smith International, Inc.",17287,2009,5,0,0,,0,0,67814,133650,48691,2010,,,,,
"L. & L. Manufacturing Co., Inc.",10387,2009,6,0,1,663,841,226450,2959,2250,549,2010,,,,,
FedEx Corporation,6287,2009,12,1,1,1132571,1834426,0,0,14101552,1065689,2010,,,,,
Advance Brands,23487,2010,12,0,0,,0,0,0,0,0,2010,,,,,
Northern Trust,13486,2009,12,0,0,7020,0,0,97908,7656,52920,2010,,,,,
Alliant Energy Corporation,586,2009,12,1,1,,0,0,0,17608208,0,2010,,,,,
Acme-McCrary Corporation,23486,2009,12,0,1,,750,39950,15481,3776,8016,2010,,,,,
Schiff Nutrition International,23585,2009,3,1,1,2779,2274,68000,6457,984,5199,2010,,,,,
Northrop Grumman Corp,13488,2008,12,1,1,1255833,0,0,0,354885,1111953,2010,,,,,
Brown-Forman Corporation,2354,2009,12,1,0,3853,848,19504,104445,127354,71320,2010,,,,,
Robinson Manufacturing Company,23574,2010,12,1,1,265,75,0,0,900,0,2010,,,,,
Teradyne Inc.,18553,2009,12,0,1,2432,220,0,0,2464,24020,2010,,,,,
Broadcom Corporation,2320,2009,12,0,0,14221,0,0,85067,2700,36552,2010,,,,,
Time Warner Inc.,19119,2009,12,0,0,40183,0,0,524361,23794,250178,2010,,,,,
QUALCOMM Inc.,15419,2009,9,1,0,,13551,7328532,115881,53633,38502,2010,,,,,
One Step Up,23619,2010,9,0,1,660,0,0,248,0,0,2010,,,,,
CA Technologies,2519,2009,12,0,0,25868,0,0,130501,3631,77651,2010,,,,,
Schlumberger Limited,16418,2009,12,0,0,1467000,0,0,0,1315000,390000,2010,,,,,
Heinz (H.J.) Company,8218,2010,4,1,1,,0,0,131355,518958,348821,2010,,,,,
Caterpillar Inc.,2918,2009,12,0,1,21400,0,0,2371000,638000,1416500,2010,,,,,
Newmont Mining Corporation,13117,2009,12,0,0,,0,0,3008662,4212914,1204354,2010,,,,,
Boeing Company,2017,2009,12,1,1,229000,40000,0,2309000,579000,1141000,2010,,,,,
Weatherford International Ltd.,20516,2009,12,0,1,47967,0,0,390887,225015,232750,2010,,,,,
Thermo Fisher Scientific Inc.,19016,2009,12,0,0,,5202316,0,0,0,0,2010,,,,,
"The Hartford Financial Services Group, Inc.",8116,2009,12,1,1,87388,19815,0,172863,32450,86358,2010,,,,,
Google Inc.,7616,2009,12,1,0,,0,0,0,0,0,2010,,,,,
"Waste Management, Inc.",20515,2009,12,1,1,,26859606,0,398299000,23527470,137207,2010,,,,,
Stryker Corporation,17815,2010,7,0,0,,0,0,0,0,0,2010,,,,,
Pulte Homes Inc,22315,2009,12,1,0,,0,0,0,0,0,2010,,,,,
Faf Inc,30015,2009,12,0,0,,0,0,0,0,0,2010,,,,,
E.I. du Pont de Nemours and Company,5115,2009,12,1,1,76934,27600000,0,8994600,8837000,4154000,2010,,,,,
Topson Downs,19214,2010,1,0,1,,120,10000000,466,124,111,2010,,,,,
NiSource Inc.,13314,2009,12,0,1,1310733,179600,150000,0,21708938,184604,2010,,,,,
CSX Corporation,4120,2009,12,1,1,20899,503000,1072000000,436497,4772785,260559,2010,,,,,
CSX Corporation,4120,2008,12,,,,,,445545,5785305,263927,2010,,,,,
Life Technologies Corp.,10720,2009,12,1,1,26039,4812,2364432,122392,39131,51758,2010,,,,,
Lockheed Martin Corporation,10820,2009,12,1,1,219518,42491,20038430,1877065,341082,1170827,2010,,,,,
Norfolk Southern Corp.,13425,2008,12,1,0,,1734500,2510000000,512000,5200000,333760,2010,,,,,
Cardinal Health Inc.,2825,2009,12,0,0,16779,0,0,345129,113305,179252,2010,,,,,
Aon Corporation,825,2009,12,,0,5975,0,0,22000,0,0,2010,,,,,
New York Times Company,13124,2010,5,,0,,0,0,0,0,0,2010,,,,,
NetApp Inc.,13024,2009,12,0,0,,0,0,0,0,0,2010,,,,,
Waters Corporation,20523,2009,12,0,1,,0,0,0,0,0,2010,,,,,
NYSE Euronext,13623,2010,1,0,0,6452,0,0,187685,1713,76065,2010,,,,,
Medco Health Solutions Inc.,11623,2009,12,1,0,,26300,0,146372,3436,76915,2010,,,,,
LSI Corporation,11023,2009,12,1,1,360722,2438,188460,113876,6422,78241,2010,,,,,
Xerox Corporation,20822,2009,12,1,1,16993,37107,0,508716,163500,193582,2010,,,,,
Unisys Corporation,19822,2009,12,0,0,24835,0,0,225114,2324,164748,2010,,,,,
King Arthur Flour,23514,2009,6,1,0,,0,0,3,173,3,2010,,,,,
Timberland,19122,2009,12,0,1,,0,0,0,0,0,2010,,,,,
"Darden Restaurants, Inc.",4322,2009,5,1,1,5610,0,0,1241962,349647,750789,2010,,,,,
Unum Group,20021,2009,12,0,0,4764,0,0,58035,9880,28220,2010,,,,,
Pitney Bowes Inc.,14821,2009,12,0,0,,2662,250425,161869,42606,81501,2010,,,,,
Emerson Electric Co.,5521,2009,9,,0,,0,0,0,361454,0,2010,,,,,
DTE Energy Company,5021,2009,12,0,1,19558441,0,0,401000,41760000,286000,2010,,,,,
Cousin Corporation of America,23521,2009,12,0,1,,0,0,513,11,310,2010,,,,,
Cousin Corporation of America,23521,2008,12,,,,,,512,11,335,2010,,,,,
Target Corporation,18320,2009,12,1,0,,9039,0,4543489,310277,2717637,2010,,,,,
Southwest Airlines Co.,17420,2009,12,0,1,,82210,0,768246,13838695,49512,2010,,,,,
Lockheed Martin Corporation,10820,2007,12,,,,,,2140508,350578,1204961,2010,,,,,
Lockheed Martin Corporation,10820,2008,12,,,,,,2146628,343676,1206620,2010,,,,,
Firstline Manufacturing,30422,2009,12,0,0,303,0,0,48,6,29,2010,,,,,
Teradata Corp.,18513,2009,12,0,0,,0,0,43933,512,16987,2010,,,,,
OGE Energy Corporation,13813,2009,12,0,0,,0,0,378211,22423379,534307,2010,,,,,
"Williams Companies, Inc.",20705,2008,12,0,0,2272992,0,0,0,15779074,925038,2010,,,,,
United States Steel Corporation,19905,2009,12,1,0,,410040,0,6114276,31304759,3570323,2010,,,,,
"PepsiCo, Inc.",14605,2009,12,1,1,1945000,130000,0,1845117,2915241,1428177,2010,,,,,
"Micron Technology, Inc.",11905,2009,12,,,,0,0,912272,654197,912272,2010,,,,,
"Rockwell Collins, Inc.",15904,2009,9,1,1,,7338,1929459,218241,20149,136221,2010,,,,,
NVIDIA Corporation,13604,2009,12,0,1,2889,0,0,72311,1761,27493,2010,,,,,
National Semiconductor Corporation,12804,2009,12,1,1,2396,9187,3895086,272104,130058,161628,2010,,,,,
Microchip Technology,11904,2009,12,0,0,,776,0,256390,84885,121995,2010,,,,,
Charles Komar & Sons,23504,2010,1,0,1,1236,0,0,1348,371,1297,2010,,,,,
Akamai Technologies Inc,454,2009,12,0,0,52150,26965,36739,122369,109,57500,2010,,,,,
AES Corporation,304,2009,12,,,,0,0,0,74121544,0,2010,,,,,
Yahoo! Inc.,20905,2009,12,0,1,47100,5967,0,45841,0,0,2010,,,,,
"CenterPoint Energy, Inc.",3003,2009,12,0,0,,0,0,99184,0,0,2010,,,,,
"Wal-Mart Stores, Inc.",20402,2005,12,,,,,,23874250,4814958,13894301,2010,,,,,
"Wal-Mart Stores, Inc.",20402,2006,12,,,,,,24637538,4986783,14295248,2010,,,,,
"Wal-Mart Stores, Inc.",20402,2007,12,,,,,,25887166,5461558,15034354,2010,,,,,
"Wal-Mart Stores, Inc.",20402,2008,12,,,,,,26473924,5704164,15374806,2010,,,,,
"Wal-Mart Stores, Inc.",20402,2009,12,1,1,27428,0,0,26451045,5693933,15322263,2010,,,,,
"Vi-Jon, Inc.",23602,2009,12,0,1,,306,0,36219,72,26275,2010,,,,,
"Juniper Networks, Inc.",9902,2009,12,1,1,32456,6101,5144567,119990,3327,62793,2010,,,,,
World Bank Group,20801,2009,6,0,1,108086,0,184300,148782,7836,70854,2010,,,,,
Bemis Company,22901,2009,12,0,0,,0,189000,904914,146123,492210,2010,,,,,
Victoria Classics,23600,2009,12,0,0,,0,0,0,0,0,2010,,,,,
Millipore Corp.,11900,2009,12,1,1,,17749,1760486,95035,120369,39330,2010,,,,,
"Automatic Data Processing, Inc.",1203,2009,12,0,0,,20650,0,313180,20026,168178,2010,,,,,
Symantec Corporation,18125,2010,3,0,1,41776,16480,360000,0,6915,112688,2010,,,,,
American Tower Corp.,706,2009,12,1,0,7956,0,0,31009,5536,177197,2010,,,,,
Morgan Stanley,12406,2009,12,1,1,50371,6704,3911294,702275,8355,314918,2010,,,,,
Exelon Corporation,6113,2009,12,1,1,10234,31514193,1450000000,455967,8720988,232425,2010,,,,,
AT&T Inc.,1113,2009,12,1,0,57706,155253,0,13277439,1170232,7745546,2010,,,,,
Weyerhaeuser Company,20612,2010,1,1,1,,7226,0,0,1717524,981919,2010,,,,,
